lAltitude,lMeanDepth,lRettime,lAlkalinity,lColour,lTotalP,ltotalbio
4.6539604,2.09186406,-2.77274874,-1.60943791,1.6094379,2.7725887,12.151801
5.0814044,1.02961942,-1.11082253,0.42002526,3.4873751,4.634729,16.697808
5.0814044,1.02961942,-1.11082253,0.35977015,3.4531571,4.4886364,16.393506
5.7037825,0.09531018,-4.79342934,-2.47693848,2.6390573,2.74084,14.00424
5.7037825,0.09531018,-4.79342934,-2.68824757,2.3978953,2.1400662,11.162942
5.7037825,0.09531018,-4.79342934,-2.40794561,1.9459101,2.5649494,13.345517
5.913503,1.22377543,-3.18203776,-2.16282315,2.0794415,2.6026897,12.707045
4.9558271,3.11794991,-0.98661932,-2.7488722,1.7917595,2.3025851,14.116022
4.9558271,3.11794991,-0.98661932,-2.57702194,2.1400662,2.8033604,16.077768
4.9558271,3.11794991,-0.98661932,-2.63945741,2.1594843,1.9459101,14.366485
4.9558271,3.11794991,-0.98661932,-2.3644605,1.7917595,2.7080502,13.149609
6.1202974,2.03601198,0.12968086,-3.57555077,3.2580965,2.2512918,11.957631
6.1202974,2.03601198,0.12968086,-3.32793763,3.232121,2.1972246,13.283049
6.1202974,2.03601198,0.12968086,-3.27016912,3.3672958,2.4849066,12.625079
4.8598124,-0.35667494,-1.53881637,-0.73396918,3.1135153,3.8607297,14.353471
4.8598124,-0.35667494,-1.53881637,-0.84397007,3.3499041,3.6888795,15.630113
4.3694479,0.83290912,0.6104789,0.48242615,3.2580965,7.0875737,16.840703
5.062595,3.17805383,-0.78810862,-1.7602608,3.3843903,3.2188758,12.538687
5.062595,3.17805383,-0.78810862,-1.91596307,3.5263605,2.8903718,14.399198
5.062595,3.17805383,-0.78810862,-1.91054301,3.1780538,3.2188758,12.224762
4.5849675,2.02814825,1.65721194,0.83290912,2.7013612,7.0030655,12.35019
4.5849675,2.02814825,1.65721194,0.83724752,2.8124102,6.9916368,15.193695
4.5643482,1.7227666,0.95811229,0.68208623,2.7080502,5.9558374,15.93301
4.5643482,1.7227666,0.95811229,0.66782937,2.7911651,6.5631501,14.700744
4.4773368,1.30833282,0.19014752,1.01160091,2.8213789,4.8598124,15.012685
5.5412635,2.58021683,-0.64961079,-2.59026717,3.0397492,1.6094379,13.267312
0,0.26236426,-0.65411495,0.87779935,2.8903718,4.5798524,15.63847
4.2046926,-0.51082562,-3.43858777,1.29198368,3.2068032,5.4553211,16.468182
4.2046926,-0.51082562,-3.43858777,1.46787435,0.2231436,5.9532433,17.812722
0.6931472,0.91629073,-0.3518125,1.17249762,2.5649494,4.1108739,13.506416
0.6931472,0.91629073,-0.3518125,1.19361939,2.6026897,4.4589877,15.015743
0.6931472,-0.22314355,-0.73984474,0.68496379,2.7725887,2.9704145,11.718801
0.6931472,-0.22314355,-0.73984474,0.49469624,2.7725887,2.944439,13.702057
4.4426513,0.33647224,-3.88285263,-2.16892871,2.2512918,3.6635616,11.908562
4.4426513,2.35137526,2.07964315,0.73716407,1.3284004,3.4011974,15.194179
5.0238805,1.30833282,0.4572166,0.6564832,2.7788193,3.1780538,16.556483
5.0238805,1.30833282,0.4572166,0.45107562,2.3795461,3.988984,12.831064
4.3567088,1.80828877,1.35593489,0.73236789,2.0281482,4.3820266,17.011958
4.4659081,1.48160454,2.27021478,0.85015093,2.5095993,3.5835189,15.975977
5.7651911,2.31253542,-2.19416127,-2.97592965,3.0204249,2.442347,12.838668
5.7651911,2.31253542,-2.19416127,-2.78062089,3.1780538,3.1354942,12.538232
5.7651911,2.31253542,-2.19416127,-2.89679233,3.5835189,2.3978953,12.265105
6.0402547,1.74046617,-0.72525104,-3.44201938,3.5553481,2.7080502,12.842856
6.0402547,1.74046617,-0.72525104,-3.27016912,3.0910425,4.6249728,12.760759
5.7170277,0.95551145,-0.55754518,-2.0683038,3.5553481,3.8066625,14.173494
5.7170277,0.95551145,-0.55754518,-2.00991548,3.4011974,3.7135721,11.511605
6.056784,0.77932488,-1.94636625,-2.91877123,3.3499041,2.3025851,12.533281
6.056784,0.77932488,-1.94636625,-2.88240359,3.4011974,3.6635616,13.514819
6.056784,0.77932488,-1.94636625,-2.84043939,3.7841896,2.5649494,12.71804
6.0844994,1.178655,-0.78281153,-2.81341072,4.6249728,4.6151205,11.043082
6.0844994,1.178655,-0.78281153,-2.34340709,4.5432948,2.9957323,12.33671
3.5553481,2.05412373,0.41051235,0.64009814,2.2300144,4.2341065,18.128213
3.5553481,2.05412373,0.41051235,0.15128916,2.014903,4.3438054,14.054552
3.5553481,2.05412373,0.41051235,0.56075799,2.0281482,5.062595,15.395501
5.7203118,2.31253542,-0.34879181,-0.77652879,2.9177707,2.8903718,13.242199
5.7203118,2.31253542,-0.34879181,-0.71498388,2.7725887,2.7080502,12.11124
5.7203118,2.31253542,-0.34879181,-0.71334989,3.0204249,3.4965076,13.397717
5.049856,0.69314718,-1.43369629,0.92028275,3.0445224,4.7095302,16.353842
5.049856,0.69314718,-1.43369629,0.96424245,2.9957323,5.386786,15.848056
5.049856,0.69314718,-1.43369629,0.98581679,2.8332133,5.1387353,15.079055
5.049856,0.69314718,-1.43369629,1.06471074,3.2188758,5.170484,15.006486
4.1743873,-0.22314355,-0.51764549,1.0919233,2.6026897,4.0859763,17.050937
4.4543473,0.74193734,-4.91605265,0.11332869,1.6389967,2.8332133,14.836753
0.6931472,-0.51082562,-3.70431802,0.84156719,2.7725887,3.9318256,15.150657
0.6931472,-0.51082562,-3.70431802,1.1610652,2.8903718,4.3694479,15.361231
0.6931472,-0.51082562,-3.70431802,1.09861229,3.1354942,2.944439,14.506995
0.6931472,-0.51082562,-3.70431802,0.76313955,2.7725887,3.2580965,13.375294
2.7080502,0,-0.32360774,0.51282363,2.1972246,2.6741486,15.028778
2.7080502,0,-0.32360774,-0.08338161,2.5649494,3.5835189,16.536784
4.0253517,1.45861502,-0.45493375,1.11841492,1.8405496,5.2983174,16.323644
2.4849066,0.83290912,0.1123827,0.73236789,0.2231436,2.9957323,14.624824
2.4849066,0.83290912,0.1123827,0.57661336,0.2231436,2.0794415,13.412174
2.4849066,0.83290912,0.1123827,0.29266961,0.2231436,2.944439,13.710434
4.1896547,1.85629799,1.36094527,0.68813464,2.3025851,5.325446,16.273904
4.9344739,1.06471074,-1.67302755,0.13102826,1.9459101,3.4177267,16.881093
4.9344739,1.06471074,-1.67302755,0.23111172,2.163323,2.6390573,16.38515
3.988984,-0.51082562,-3.23823705,0.7975072,2.8332133,2.7080502,15.95401
3.988984,-0.51082562,-3.23823705,0.85015093,3.2451931,4.8828019,16.049358
3.988984,-0.51082562,-3.23823705,0.77010822,2.8903718,5.1817836,17.08477
4.1108739,-0.22314355,-1.21085644,0.42526774,2.944439,4.3241327,14.582978
4.1108739,-0.22314355,-1.21085644,0.4531963,3.1498829,4.9236239,15.28832
4.1108739,-0.22314355,-1.21085644,0.54232429,2.6390573,3.6635616,17.37778
4.5432948,0.74193734,-5.85483795,1.29198368,1.3415585,2.5257286,13.63879
4.5432948,0.74193734,-5.85483795,1.02961942,0.2231436,4.1271344,15.827853
2.7725887,-0.51082562,-2.8594372,1.4632554,0.2231436,3.5553481,16.393983
2.7725887,-0.51082562,-2.8594372,1.24703229,5.2781147,3.5553481,15.008135
3.4657359,0,-2.18181984,-1.34707365,3.2580965,3.4657359,14.498897
1.6094379,-0.69314718,-0.55772333,-0.77652879,3.988984,3.1780538,12.306578
1.6094379,-0.69314718,-0.55772333,-0.65392647,3.5835189,3.8501476,12.868335
1.6094379,-0.69314718,-0.55772333,-1.13943428,3.5835189,1.3862944,14.037871
1.6094379,-0.69314718,-0.55772333,-1.27296568,3.4011974,4.7184989,16.527253
5.590987,-0.91629073,-2.53202341,-2.99573227,3.9318256,3.8066625,10.070484
5.3844951,2.00148,-1.86571176,-2.99573227,2.3978953,3.1354942,13.446451
5.3844951,2.00148,-1.86571176,-1.42711636,1.9878743,2.3978953,12.778122
1.0986123,0.43825493,-2.34665193,0.18232156,2.8903718,4.2849649,17.141242
5.1059455,1.5260563,-0.41698319,-1.07880966,2.6390573,2.5649494,14.651378
5.1059455,1.5260563,-0.41698319,-1.07880966,2.1282317,3.2958369,14.097874
1.3862944,1.16315081,-2.88188587,-0.10536052,2.3978953,4.5849675,16.500376
