"Inscription","Line","Character","Rune","T1 Size","T1 Top","T1 Stave","T1 Angle","T1 Abs Angle","T1 Direction","T1 Position","T2 Size","T2 Top","T2 Stave","T2 Angle","T2 Abs Angle","T2 Direction","T2 Position"
"B026    ",1,4,"o   ",0.22572700759487,0.17580024209854,0.18092631834844,0.71090937318356,0.71090937318356,1,1,0.3191908340063,0.83623898944172,0.83927058382681,0.79592409042917,0.79592409042917,1,1
"B026    ",1,6,"k   ",0.23362595682438,0.092966779797984,0.3470319310892,1.09867434439112,1.09867434439112,1,3,0,0,0,,,,
"B026    ",1,7,"h   ",0.27534286684007,0.50198726647878,0.57491340106915,-0.8478169733934,0.8478169733934,2,1,0.43910358359663,0.41292500952287,0.60320796134998,0.71362623046162,0.71362623046162,1,1
"B026    ",1,8,"n   ",0.54822101331107,0.45554852553996,0.4560902005536,-1.22981737329855,1.22981737329855,2,2,0,0,0,,,,
"B026    ",1,1,"f   ",0.71475928046828,0.12777022021962,0.651135685054,0.8209562920089,0.8209562920089,1,3,0.8734423589477101,0.11579176207403,0.76279572211096,0.83390377563783,0.83390377563783,1,3
"B026    ",1,4,"o   ",0.45980121922285,0.1166374709538,0.32502809883441,0.46784926494767,0.46784926494767,1,3,0.40304980730091,0.59614707376391,0.7319022895477,0.33869808420304,0.33869808420304,1,3
"B026    ",1,6,"k   ",0.77683226499124,0.031109882103007,0.68909101857944,1.00977130365595,1.00977130365595,1,3,0,0,0,,,,
"B026    ",1,8,"n   ",0.50792309382496,0.32420666432102,0.3242450297036,-0.7715101674664801,0.7715101674664801,2,2,0,0,0,,,,
"B037    ",1,1,"ae  ",0.34200513011542,0.37618645043032,0.54008957673938,0.78539816339744,0.78539816339744,1,1,0,0,0,,,,
"B037    ",1,3,"n   ",0.20301777315352,0.36391267143702,0.3676073110469,-0.6947382761967,0.6947382761967,2,2,0,0,0,,,,
"B046    ",1,1,"¾   ",0.307456871243,0.29643895074443,0.42075564406183,0.83298126667443,0.83298126667443,1,1,0,0,0,,,,
"B046    ",1,2,"t   ",0.17581153583855,0.055167166274184,0.055596489218214,0.84089666864316,0.84089666864316,1,1,0,0,0,,,,
"B046    ",1,4,"f   ",0.31622776601683,0.006848672513487,0.30887437108101,1.26274354577112,1.26274354577112,1,3,0.52627937565353,0,0.50070307041993,1.25316097550537,1.25316097550537,1,3
"B046    ",1,5,"f   ",0.35364057520024,0.00669634516124,0.34256239986722,1.24305782001434,1.24305782001434,1,3,0.4793853589828,0.020089035483717,0.45613859596137,1.13838855122436,1.13838855122436,1,3
"B046    ",1,8,"a   ",0.15346455175568,0.51328770978675,0.51328770978675,0.97074611339314,0.97074611339314,1,1,0,0,0,,,,
"B046    ",1,9,"n   ",0.2001752848715,0.27809081684087,0.27816962960052,-0.97361966870221,0.97361966870221,2,2,0,0,0,,,,
"B046    ",1,10,"t   ",0.15630725191031,0,0.006990272812953,1.10714871779409,1.10714871779409,1,1,0,0,0,,,,
"B046    ",1,11,"¾   ",0.32191138998982,0.27965874488171,0.3987589506867,0.97074611339314,0.97074611339314,1,1,0,0,0,,,,
"B046    ",1,12,"t   ",0.149491745886,0.0974025974026,0.097618807651772,0.97074611339314,0.97074611339314,1,1,0,0,0,,,,
"B046    ",1,12,"t   ",0.10925382950402,0.093959731543624,0.093959731543624,0.82884905878897,0.82884905878897,1,1,0,0,0,,,,
"B046    ",1,14,"f   ",0.26198154576592,-0.006622371336811,0.2384053681252,1.20906708527496,1.20906708527496,1,3,0.46911450100301,-0.019867114010434,0.42383176555592,1.24011743821842,1.24011743821842,1,3
"B046    ",1,17,"a   ",0.1253895663626,0.57801734078034,0.57837723953651,0.86217005466722,0.86217005466722,1,1,0,0,0,,,,
"B046    ",1,18,"n   ",0.15449433027142,0.40935909727848,0.40941410018061,-0.97074611339314,0.97074611339314,2,2,0,0,0,,,,
"B046    ",1,19,"t   ",0.14901389648037,0.098020374672228,0.09888782852533,0.90975315794421,0.90975315794421,1,1,0,0,0,,,,
"B051    ",1,2,"f   ",0.42020185753666,0.11008711031083,0.3579007036189,0.6304014214735,0.6304014214735,1,3,0.93037359037851,-0.009173925859236,0.59637574533564,0.70862627212767,0.70862627212767,1,3
