"County";"State";"VotesTrump";"VotesClinton";"PercTrump";"PercClinton";"PercWhite";"HIncome"
"Blount";"Tennessee";37385;12085;72.1;23.3;93.5;4.5991
"Blue Earth";"Minnesota";15667;14428;47.1;43.4;92.8;4.9935
"Boise";"Idaho";2673;777;70.1;20.4;95.4;4.1056
"Bolivar";"Mississippi";4251;8410;33.1;65.5;33.5;2.8599
"Bollinger";"Missouri";4827;705;85.1;12.4;97.9;3.7716
"Bon Homme";"South Dakota";2105;704;70.8;23.7;89.8;4.098
"Bond";"Illinois";4884;2066;65.5;27.7;90.9;4.8163
"Bonner";"Idaho";10220;5140;60.8;30.6;96;4.1414
"Bonneville";"Idaho";26699;8930;60.4;20.2;90.6;5.0872
"Boone";"Arkansas";12225;2925;75.9;18.2;96.5;3.8506
"Boone";"Illinois";12261;8952;54.2;39.6;84.4;6.0893
"Boone";"Indiana";19654;10181;61.3;31.8;95.3;6.7255
"Boone";"Iowa";7458;5517;53.3;39.5;97;5.1826
"Boone";"Kentucky";39082;15026;67.9;26.1;91.8;6.7225
"Boone";"Missouri";36146;41072;43.4;49.3;82.8;4.8627
"Boone";"Nebraska";2299;414;80.2;14.4;98.5;4.5246
"Boone";"West Virginia";6483;1783;74.9;20.6;98.5;4.2156
"Borden";"Texas";330;31;90.4;8.5;93.6;7.1607
"Bosque";"Texas";6325;1277;81.1;16.4;89.9;4.4742
"Bossier";"Louisiana";35451;12638;71.2;25.4;72.2;5.3248
"Botetourt";"Virginia";13369;4492;71.7;24.1;94.9;6.5935
"Bottineau";"North Dakota";2482;734;72.2;21.4;95.1;5.1667
"Boulder";"Colorado";34867;114294;21.7;71.3;87.2;6.7956
"Boundary";"Idaho";3789;933;73.6;18.1;94.8;3.7003
"Bourbon";"Kansas";4314;1306;72.9;22.1;93;3.9591
"Bourbon";"Kentucky";5569;2791;63.3;31.7;88.1;4.0933
"Bowie";"Texas";24913;8831;72.3;25.6;68.8;4.2346
"Bowman";"North Dakota";1445;227;81.7;12.8;97.9;5.6964
"Box Butte";"Nebraska";3550;953;74.6;20;89.8;4.6373
"Box Elder";"Utah";10324;1814;62.4;11;91.8;5.7292
"Boyd";"Kentucky";13591;6021;66.4;29.4;94.7;4.0379
"Boyd";"Nebraska";978;128;85.6;11.2;97;4.1279
"Boyle";"Kentucky";8040;4281;62.1;33.1;88.2;4.1473
"Bracken";"Kentucky";2711;705;76.9;20;97.8;3.9196
"Bradford";"Florida";8913;2924;73.7;24.2;76.4;4.0259
"Bradford";"Pennsylvania";17957;6263;70.7;24.7;97.5;4.6963
"Bradley";"Arkansas";2163;1317;59.2;36.1;60.3;3.0409
"Bradley";"Tennessee";29761;7070;77.5;18.4;90.3;4.1083
"Branch";"Michigan";11025;4740;66.9;28.7;92.9;4.1856
"Brantley";"Georgia";5561;619;88.5;9.8;94.4;3.607
"Braxton";"West Virginia";3516;1315;69.4;26;98.2;3.1848
"Brazoria";"Texas";72653;43075;60.4;35.8;70.1;6.7603
"Brazos";"Texas";38662;23041;58.5;34.9;73.3;3.831
"Breathitt";"Kentucky";3991;1537;69.6;26.8;98.3;2.4045
"Breckinridge";"Kentucky";6484;1960;73.9;22.3;95.7;3.8907
"Bremer";"Iowa";7199;5349;53.9;40.1;97.2;6.1216
"Brevard";"Florida";181620;119525;57.8;38;83;4.8039
"Brewster";"Texas";2073;1869;49.1;44.2;86.6;4.0477
"Briscoe";"Texas";625;91;85.1;12.4;87.5;3.625
"Bristol";"Massachusetts";104775;127619;42.6;51.9;88.4;5.5298
"Bristol";"Rhode Island";7468;11455;37.4;57.4;95.7;7.1238
"Bristol";"Virginia";4884;1832;70.1;26.3;90.9;3.2221
"Broadwater";"Montana";2329;566;75.1;18.2;96.2;4.5932
"Bronx";"New York";34424;318403;9.6;88.7;27.9;3.4388
"Brooke";"West Virginia";6574;2549;68.9;26.7;97;4.2493
"Brookings";"South Dakota";6748;4879;53.2;38.5;93.2;4.6896
"Brooks";"Georgia";3679;2504;58.7;39.9;59.9;3.4419
"Brooks";"Texas";613;1937;23.6;74.6;89.6;2.1865
"Broome";"New York";38077;35212;49;45.3;88;4.5958
"Broomfield";"Colorado";14272;19530;38.2;52.3;86.1;7.7998
"Broward";"Florida";258521;546956;31.4;66.5;63.1;5.1251
"Brown";"Illinois";1776;475;76;20.3;76.1;4.2194
"Brown";"Indiana";5015;2518;63.4;31.8;97.6;5.1568
"Brown";"Kansas";2861;850;72.2;21.5;85.1;3.9968
"Brown";"Minnesota";8708;3763;63.7;27.5;97.5;4.8256
"Brown";"Nebraska";1380;153;87.4;9.7;98.2;3.3647
"Brown";"Ohio";14257;4270;74.5;22.3;97.5;4.4341
"Brown";"South Dakota";9613;5452;59.7;33.8;93.2;5.1398
"Brown";"Texas";12010;1621;86.1;11.6;86.5;3.9776
"Brown";"Wisconsin";67192;53358;52.7;41.9;86.5;5.3119
"Brule";"South Dakota";1565;571;68.4;25;88.4;4.5284
"Brunswick";"North Carolina";42440;23117;63.1;34.4;83;4.6438
"Brunswick";"Virginia";3045;4473;39.8;58.5;40.4;3.6293
"Bryan";"Georgia";10513;4010;69.8;26.6;80.2;6.4707
"Bryan";"Oklahoma";10449;2793;75.9;20.3;76.2;3.8897
"Buchanan";"Iowa";5504;3966;54.3;39.1;97.8;5.5553
"Buchanan";"Missouri";21315;12010;59.9;33.8;89.1;4.4363
"Buchanan";"Virginia";7292;1721;79.1;18.7;96.6;2.9848
"Buckingham";"Virginia";3969;3128;54.5;42.9;62.1;3.8648
"Bucks";"Pennsylvania";163873;165861;47.8;48.4;89.2;7.6555
"Buena Vista";"Iowa";4895;2851;59.8;34.9;80.7;4.6951
"Buena Vista";"Virginia";1432;693;59.8;28.9;91;3.6591
"Buffalo";"Nebraska";14424;4690;70.4;22.9;92.7;5.0963
"Buffalo";"South Dakota";171;296;34.9;60.4;14.8;3.0962
"Buffalo";"Wisconsin";4049;2531;58.5;36.6;97.5;4.7384
"Bullitt";"Kentucky";26210;8255;72.7;22.9;96.8;5.4836
"Bulloch";"Georgia";14476;8812;59.9;36.5;67.2;3.584
"Bullock";"Alabama";1139;3530;24.2;75.1;23;3.2033
"Buncombe";"North Carolina";55339;74937;41.1;55.7;87.4;4.4713
"Bureau";"Illinois";9264;6010;56.8;36.9;94.2;4.8977
"Burke";"Georgia";4491;4730;48;50.6;47.5;3.1494
"Burke";"North Carolina";25741;10930;68.4;29;84.4;3.7263
"Burke";"North Dakota";879;118;85.3;11.4;97.8;5.3693
"Burleigh";"North Dakota";32499;10865;69.3;23.2;93;6.1811
"Burleson";"Texas";5316;1491;76.5;21.5;77.9;4.5651
"Burlington";"New Jersey";79085;107485;40.8;55.5;73.8;7.8446
"Burnet";"Texas";14595;3785;76.6;19.9;88.5;4.8115
"Burnett";"Wisconsin";5412;2948;62.1;33.8;91.6;3.9564
"Burt";"Nebraska";2360;928;67;26.3;95.9;4.6817
"Butler";"Alabama";4891;3716;56.3;42.8;54.4;2.9918
"Butler";"Iowa";4918;2163;66;29;98.4;5.2026
"Butler";"Kansas";18781;6489;69.4;24;93.5;5.6454
"Butler";"Kentucky";4428;947;79.4;17;97;3.543
"Butler";"Missouri";13647;3036;79.2;17.6;90.8;3.4969
"Butler";"Nebraska";3068;690;78.4;17.6;97.6;5.0247
"Butler";"Ohio";104441;56700;62;33.7;86;5.661
"Butler";"Pennsylvania";61388;26834;66.7;29.2;96.6;5.823
"Butte";"California";35354;31638;48.9;43.8;81.9;4.3752
"Butte";"Idaho";914;160;74.3;13;95.5;4.1131
"Butte";"South Dakota";3355;693;77.2;15.9;94.2;4.1332
"Butts";"Georgia";6717;2566;70.9;27.1;69.9;4.9754
"Cabarrus";"North Carolina";53224;35048;58.5;38.5;75.4;5.3551
"Cabell";"West Virginia";19648;11306;60.1;34.6;91.6;3.8374
"Cache";"Utah";12385;5435;46.7;20.5;89.1;4.9506
"Caddo";"Louisiana";48977;53448;46.3;50.5;49;4.1053
"Caddo";"Oklahoma";6473;2418;69.3;25.9;63.1;3.9267
"Calaveras";"California";10126;6225;58.1;35.7;88.9;5.5295
"Calcasieu";"Louisiana";54182;26293;64.7;31.4;70.8;4.3499
"Caldwell";"Kentucky";4507;1260;75.4;21.1;92.8;3.7127
"Caldwell";"Louisiana";3822;788;81.5;16.8;81.1;3.9385
"Caldwell";"Missouri";3231;837;75;19.4;96.5;4.1169
"Caldwell";"North Carolina";26499;8403;74.1;23.5;90.2;3.4357
"Caldwell";"Texas";6516;4663;55.6;39.8;75.8;4.4152
"Caledonia";"Vermont";5533;6445;42.7;49.7;96.5;4.5395
"Calhoun";"Alabama";32803;13197;69.2;27.9;74.9;3.9962
"Calhoun";"Arkansas";1554;636;68.6;28.1;74.5;3.098
"Calhoun";"Florida";4647;1236;76.6;20.4;80.8;3.278
"Calhoun";"Georgia";829;1178;41;58.2;34.7;2.6986
"Calhoun";"Illinois";1719;739;67.3;28.9;98.9;5.0436
"Calhoun";"Iowa";3466;1396;67.9;27.3;98.5;4.4484
"Calhoun";"Michigan";31489;24154;53.6;41.1;82.2;4.211
"Calhoun";"Mississippi";4360;1884;68.8;29.7;67.5;3
"Calhoun";"South Carolina";3785;3569;50.1;47.3;53.9;4.0704
"Calhoun";"Texas";4638;2118;66.7;30.4;81.5;4.7027
"Calhoun";"West Virginia";2023;456;77.7;17.5;98.4;3.1679
"Callahan";"Texas";4858;568;87.4;10.2;93.9;4.4902
"Callaway";"Missouri";13052;4988;68.2;26.1;92;4.7964
"Calloway";"Kentucky";10367;4749;64.6;29.6;92;3.9677
"Calumet";"Wisconsin";15345;9634;58.1;36.5;94.3;6.513
"Calvert";"Maryland";24680;16669;56.8;38.4;81.4;9.5477
"Camas";"Idaho";410;110;68.4;18.4;94.1;4.1154
"Cambria";"Pennsylvania";40510;17798;67.3;29.6;94.1;4.173
"Camden";"Georgia";12287;5914;65.3;31.4;74.4;5.199
"Camden";"Missouri";16721;4706;75.4;21.2;96.5;4.3458
"Camden";"New Jersey";59716;117308;32.6;64.1;65.3;6.1683
"Camden";"North Carolina";3527;1266;71.4;25.6;82.1;5.6607
"Cameron";"Louisiana";3256;323;88.2;8.7;95.7;6.4574
"Cameron";"Pennsylvania";1495;469;73.9;23.2;98.3;4.141
"Cameron";"Texas";29432;59319;32.1;64.6;87;3.3179
"Camp";"Texas";3201;1260;70.5;27.7;67.8;3.7079
"Campbell";"Kentucky";25050;14658;59;34.5;94.3;5.4306
"Campbell";"South Dakota";704;105;84.7;12.6;98.3;3.5729
"Campbell";"Tennessee";9860;2248;78.9;18;97.7;3.1943
"Campbell";"Virginia";19442;6597;71.4;24.2;82.1;4.7162
"Campbell";"Wyoming";15778;1324;88;7.4;93.2;7.9488
"Canadian";"Oklahoma";39969;11666;72.3;21.1;83.1;6.3629
"Candler";"Georgia";2661;1023;70.8;27.2;65.9;3.507
"Cannon";"Tennessee";4006;1126;75.6;21.2;96.6;4.0689
"Canyon";"Idaho";46755;16683;64.9;23.2;83;4.2105
"Cape Girardeau";"Missouri";26939;8468;73.1;23;88.7;4.6516
"Cape May";"New Jersey";28237;18626;58.4;38.5;89.8;5.6494
"Carbon";"Montana";3729;1824;62.8;30.7;97.2;4.7831
"Carbon";"Pennsylvania";18714;8917;65.2;31;95.8;4.89
"Carbon";"Utah";5055;1673;66;21.9;92.3;4.4724
"Carbon";"Wyoming";4409;1279;71.1;20.6;88.8;5.5347
"Caribou";"Idaho";2275;271;75;8.9;95.3;5.3586
"Carlisle";"Kentucky";2094;432;80.5;16.6;97.2;3.9049
"Carlton";"Minnesota";8160;8460;45.2;46.8;89.7;5.3016
"Caroline";"Maryland";8999;3747;67.8;28.2;79.8;5.8632
"Caroline";"Virginia";7143;6425;50.3;45.3;65.3;5.7218
